,nu_e,nu_mu,nu_tau
100000.0,51.63777288336692,16.503956414162722,29.693246016616563
112201.84543019652,62.26608520538089,20.319055627764318,38.15819357980573
125892.54117941661,69.98539622538851,24.922523602782075,46.10028085848417
141253.75446227554,81.31027772319317,31.41903028589347,55.62448807954925
158489.3192461114,89.56552396274985,40.35818019867509,63.32682532780115
177827.94100389228,98.1917680615017,46.84120198537978,77.85107235871236
199526.2314968883,106.47793446897163,57.592036639529425,84.20234440785177
223872.11385683378,114.52863413148565,65.51858111483467,95.7594854639656
251188.6431509582,125.27706258913219,78.90312373701703,107.1077366992081
281838.2931264455,134.76125704229884,87.40547646910669,117.07366834861588
316227.7660168379,148.54883170188398,100.40159897699054,134.27793023507616
354813.389233576,153.93811479917042,108.69736079922923,144.14752603550565
398107.1705534969,169.53660702158288,124.13542465085959,151.4256711193622
446683.5921509635,179.59391146112478,135.95216013342932,175.73067738498634
501187.2336272725,190.47812369078298,147.342943884453,179.29177601534997
562341.3251903491,203.2773776510393,164.24839381862319,196.85143008973327
630957.3444801943,218.91248247284193,182.79365477987682,205.22049247315135
707945.7843841374,223.23655216961072,201.98013424196105,224.5261055664118
794328.2347242822,236.1969747404438,211.18502508294995,242.81652295098291
891250.9381337459,242.86448495558759,227.6123138048268,257.32885420612524
1000000.0,273.2805205848155,238.54133089715904,286.007046824967
1122018.4543019629,285.3692917951557,268.305859737482,298.2953644324403
1258925.4117941686,301.3217012936017,280.85885996256,317.8735211636029
1412537.5446227554,314.1380320076693,303.3365729228875,347.68695544060813
1584893.1924611141,338.6186512933889,312.3637726000649,353.0845602550607
1778279.410038923,368.10058926015137,343.65680812109696,366.9030494465168
1995262.3149688789,375.1907007089669,347.9099713655265,415.75833378123286
2238721.138568342,402.08809684503126,371.6992236563652,432.9929958391751
2511886.4315095823,426.66982573592463,384.4596538682937,460.8421015444494
2818382.931264455,455.5745209779376,434.0426889087822,423.0023522020162
3162277.6601683795,458.8294615391396,433.15501491216264,488.62545565986863
3548133.892335753,528.3233112370397,479.90806963234326,536.8350602712369
3981071.7055349774,569.0598011148616,496.50858252502337,551.1394776090592
4466835.921509635,646.6661614121477,512.6039374428121,567.901621986239
5011872.336272725,775.3462145825638,538.3326548191693,619.6217338297034
5623413.251903491,1322.5834298779228,568.1785547624887,647.2307784835866
6309573.444801942,8838.434804994557,588.2736542088854,711.4368846963258
7079457.843841388,9450.31688673386,607.2858793975819,762.9679212537076
7943282.347242822,1404.7117954124255,650.4822467922646,739.3711424181218
8912509.381337458,884.5789442841539,646.5554668262739,806.6287395028961
10000000.0,848.9621456943398,716.4737975737969,848.3247577181879
10000000.0,833.7387669406706,833.7387669406706,833.7387669406706
11288378.916846883,865.6568802150952,865.6568802150952,865.6568802150952
12742749.857031347,898.7969181443336,898.7969181443336,898.7969181443336
14384498.882876629,933.2056598048687,933.2056598048687,933.2056598048687
16237767.391887208,968.9316751217318,968.9316751217318,968.9316751217318
18329807.108324375,1006.025393427762,1006.025393427762,1006.025393427762
20691380.811147902,1044.5391746475082,1044.5391746475082,1044.5391746475082
23357214.690901212,1084.5273832062994,1084.5273832062994,1084.5273832062994
26366508.987303555,1126.0464647687577,1126.0464647687577,1126.0464647687577
29763514.416313194,1169.1550259151209,1169.1550259151209,1169.1550259151209
33598182.862837814,1213.9139168678023,1213.9139168678023,1213.9139168678023
37926901.90732254,1260.3863173850077,1260.3863173850077,1260.3863173850077
42813323.98719396,1308.637825942593,1308.637825942593,1308.637825942593
48329302.38571752,1358.736552330117,1358.736552330117,1358.736552330117
54555947.811685145,1410.753213791728,1410.753213791728,1410.753213791728
61584821.10660267,1464.7612348476412,1464.7612348476412,1464.7612348476412
69519279.61775605,1520.8368509370853,1520.8368509370853,1520.8368509370853
78475997.03514607,1579.0592160290319,1579.0592160290319,1579.0592160290319
88586679.04100832,1639.5105143525811,1639.5105143525811,1639.5105143525811
100000000.0,1702.2760764047528,1702.2760764047528,1702.2760764047528
